Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
RecName: Full=Leptin; AltName: Full=Obese protein; AltName: Full=Obesity factor; Flags: Precursor [Homo sapiens],Homo sapiens,333,333,100%,3e-118,99.40,167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P41159.1?report=genbank&log$=prottop&blast_rank=1&RID=1MSJGDV5013"",""P41159.1"")"
RecName: Full=Leptin; AltName: Full=Obesity factor [Pan troglodytes],Pan troglodytes,285,285,87%,3e-99,98.63,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O02750.1?report=genbank&log$=prottop&blast_rank=2&RID=1MSJGDV5013"",""O02750.1"")"
RecName: Full=Leptin; AltName: Full=Obesity factor [Gorilla gorilla gorilla],Gorilla gorilla gorilla,283,283,87%,2e-98,97.95,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95189.1?report=genbank&log$=prottop&blast_rank=3&RID=1MSJGDV5013"",""Q95189.1"")"
RecName: Full=Leptin; AltName: Full=Obesity factor [Pongo pygmaeus],Pongo pygmaeus,280,280,87%,1e-97,96.58,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95234.1?report=genbank&log$=prottop&blast_rank=4&RID=1MSJGDV5013"",""Q95234.1"")"
RecName: Full=Leptin; AltName: Full=Obesity factor; Flags: Precursor [Macaca mulatta],Macaca mulatta,300,300,100%,5e-105,89.22,167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q28504.1?report=genbank&log$=prottop&blast_rank=5&RID=1MSJGDV5013"",""Q28504.1"")"
RecName: Full=Leptin; AltName: Full=Obesity factor; Flags: Precursor [Equus caballus],Equus caballus,229,229,77%,3e-77,87.60,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9TU09.2?report=genbank&log$=prottop&blast_rank=6&RID=1MSJGDV5013"",""Q9TU09.2"")"
RecName: Full=Leptin; AltName: Full=Obesity factor [Ovis aries],Ovis aries,249,249,87%,2e-85,86.30,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q28603.2?report=genbank&log$=prottop&blast_rank=7&RID=1MSJGDV5013"",""Q28603.2"")"
RecName: Full=Leptin; AltName: Full=Obesity factor; Flags: Precursor [Sus scrofa],Sus scrofa,279,279,100%,1e-96,84.43,167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q29406.1?report=genbank&log$=prottop&blast_rank=8&RID=1MSJGDV5013"",""Q29406.1"")"
RecName: Full=Leptin; AltName: Full=Obesity factor; Flags: Precursor [Felis catus],Felis catus,282,282,100%,7e-98,83.83,167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9N2C1.1?report=genbank&log$=prottop&blast_rank=9&RID=1MSJGDV5013"",""Q9N2C1.1"")"
RecName: Full=Leptin; AltName: Full=Obesity factor; Flags: Precursor [Bos taurus],Bos taurus,278,278,100%,4e-96,83.83,167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P50595.1?report=genbank&log$=prottop&blast_rank=10&RID=1MSJGDV5013"",""P50595.1"")"



		


